a_id,b_id,type,evidence,first_seen_at
316,294,shared_device,+55 (041) 4114-8232,2025-10-26T23:37:54.317030
226,290,shared_device,+55 61 8345 8351,2025-07-11T10:35:34.889306
58,152,shared_phone,0800-129-3996,2025-09-05T01:33:17.967723
499,145,shared_phone,0300-643-8039,2025-10-20T21:36:30.244268
171,7,shared_phone,(051) 9176-6202,2025-10-09T07:10:04.634731
595,9,shared_device,(011) 6035 5262,2025-09-06T19:59:26.913116
93,424,shared_phone,+55 61 9182 8033,2025-06-07T19:23:49.819533
340,555,shared_phone,71 8863 1771,2025-11-16T07:51:16.799037
592,417,shared_phone,(071) 1705 8421,2025-11-25T15:38:44.024499
449,524,shared_device,+55 51 4315 3771,2025-09-29T18:28:04.878279
252,242,shared_device,+55 61 2930-8194,2025-07-31T02:18:45.936337
309,59,shared_phone,(031) 3824 3310,2025-06-16T10:14:18.586559
39,54,shared_phone,+55 71 1970-9693,2025-06-09T13:27:09.047885
483,589,shared_phone,(061) 9756-0680,2025-08-02T16:04:56.380415
531,571,shared_device,(084) 9547 7937,2025-09-08T12:44:03.557036
577,456,shared_ip,(081) 0012-5724,2025-06-17T10:47:16.512927
483,588,shared_ip,+55 84 9099-9627,2025-06-23T10:19:48.928730
411,90,shared_ip,(081) 1746-6537,2025-09-20T23:43:35.362291
26,244,shared_phone,61 1228 6685,2025-07-02T18:29:46.819999
438,373,shared_phone,+55 21 1058 2566,2025-09-19T22:43:56.512011
12,458,shared_phone,84 3661 6991,2025-06-07T01:22:06.578940
353,550,shared_phone,(061) 0046-3237,2025-06-17T15:50:05.459220
276,436,shared_phone,+55 (051) 7193 8102,2025-10-20T12:07:20.463823
350,420,shared_device,0300-632-3416,2025-08-20T02:34:22.324436
418,306,shared_ip,(081) 3815 4991,2025-08-22T00:10:49.244676
365,151,shared_ip,(051) 5771 9187,2025-07-28T13:49:56.762130
177,270,shared_phone,(081) 1646-9938,2025-11-18T16:00:36.517626
231,486,shared_ip,+55 (081) 3310-0981,2025-11-12T08:19:30.219585
578,401,shared_ip,41 2861-6103,2025-10-13T11:06:34.944451
205,191,shared_ip,(051) 1014-6871,2025-07-08T02:12:30.205319
332,444,shared_phone,84 0855 4802,2025-10-17T22:23:33.950709
400,20,shared_ip,(031) 0630 3283,2025-07-03T04:11:21.730863
490,420,shared_device,31 0287-2964,2025-11-02T22:48:26.217032
225,151,shared_phone,84 6583 4561,2025-07-14T03:27:55.313957
301,39,shared_device,(084) 8693 5054,2025-06-10T06:40:11.815510
208,566,shared_ip,+55 (021) 8235-7220,2025-07-18T07:26:49.418757
165,93,shared_phone,(031) 4225-6179,2025-08-22T15:20:34.214395
10,185,shared_phone,21 2444 2483,2025-10-04T19:49:03.352393
275,49,shared_ip,+55 51 2993 3003,2025-08-08T05:23:55.931949
27,540,shared_device,+55 84 0226-8320,2025-06-23T17:46:37.350367
117,119,shared_phone,71 0079-1117,2025-10-06T02:04:31.811401
545,204,shared_device,11 5477-6390,2025-08-23T16:32:43.216522
317,105,shared_device,0500-043-3151,2025-06-17T22:24:31.314318
319,411,shared_device,(084) 4145 4513,2025-07-16T09:00:20.520516
319,216,shared_phone,71 4180 2758,2025-10-29T03:32:31.303690
520,357,shared_device,(041) 8228 9826,2025-07-09T10:30:27.085731
101,585,shared_ip,+55 11 0649 0528,2025-07-30T08:13:58.907339
373,384,shared_phone,(031) 6050 8881,2025-08-28T11:27:41.280246
229,318,shared_device,+55 71 7044 6862,2025-09-14T13:28:24.495733
23,248,shared_ip,0800 961 6805,2025-10-26T01:22:54.854308
73,477,shared_phone,+55 11 9362 1039,2025-12-01T13:18:40.699373
428,31,shared_phone,31 2608 6841,2025-09-22T19:44:30.913129
272,328,shared_device,+55 21 6808-1930,2025-09-26T19:43:04.382915
416,195,shared_device,+55 (084) 6072-5732,2025-06-10T00:53:51.360951
183,592,shared_phone,+55 (061) 4764 0339,2025-08-17T18:35:18.802907
89,6,shared_ip,+55 41 5013-8157,2025-11-11T08:37:11.096144
292,376,shared_ip,51 8622 1612,2025-06-19T16:46:52.048528
557,312,shared_phone,+55 (011) 3616 1567,2025-10-22T08:52:27.025265
8,405,shared_ip,51 4905 1618,2025-08-20T07:01:38.300595
273,455,shared_phone,+55 81 7911 4781,2025-09-01T14:19:11.172050
356,535,shared_phone,11 6949 3978,2025-07-23T04:53:26.638647
56,457,shared_device,+55 11 9506 3477,2025-09-29T05:39:13.580381
596,398,shared_phone,41 3345-6999,2025-06-09T20:44:35.816209
56,24,shared_phone,+55 (031) 4181-7212,2025-09-07T02:50:36.342306
68,16,shared_phone,+55 51 1295 6559,2025-07-21T11:38:12.370088
49,68,shared_phone,41 5537-7562,2025-07-19T10:42:44.356846
520,40,shared_device,(084) 0238-4938,2025-07-03T00:44:57.667774
489,547,shared_ip,+55 11 8769-1165,2025-10-03T12:01:46.938214
320,195,shared_device,71 8899-1370,2025-11-21T13:21:21.495168
267,98,shared_device,84 3946 9825,2025-11-18T22:27:27.531812
227,317,shared_phone,41 5885-1901,2025-10-19T09:46:55.506917
460,373,shared_device,+55 84 6428 1179,2025-06-06T17:32:41.897254
333,153,shared_phone,(011) 2453-6622,2025-10-13T18:48:23.131845
72,382,shared_device,+55 (021) 3492-4510,2025-06-25T04:18:37.186202
456,494,shared_phone,71 6570-7835,2025-12-02T10:58:13.679724
110,179,shared_ip,+55 71 9736-7825,2025-08-31T16:45:03.703213
255,180,shared_device,51 1176 3553,2025-11-26T11:01:28.260657
18,485,shared_ip,(021) 4589-8722,2025-11-28T03:09:23.339332
594,67,shared_ip,0800 850 1022,2025-07-17T16:10:42.744395
493,224,shared_device,(081) 8592-5129,2025-10-10T10:02:43.213723
574,443,shared_ip,+55 (031) 8754 0477,2025-08-26T23:42:34.464442
322,499,shared_ip,+55 (071) 0635-3300,2025-07-25T17:32:08.391463
235,492,shared_ip,+55 81 0358-0773,2025-08-25T23:49:46.700564
213,530,shared_ip,+55 (011) 9799 8951,2025-08-29T00:54:40.947754
319,38,shared_device,+55 (021) 7452 3770,2025-11-24T04:24:09.445189
492,275,shared_phone,(011) 8486 1104,2025-06-05T21:34:28.892232
253,130,shared_ip,41 8696 3272,2025-07-31T21:17:46.870139
579,362,shared_ip,+55 61 7145 9296,2025-10-15T19:02:24.151901
432,593,shared_ip,+55 (084) 5050 3846,2025-06-19T05:29:06.340404
526,49,shared_ip,+55 11 9825 2838,2025-06-09T00:59:48.413437
291,367,shared_phone,0800 085 1426,2025-09-15T06:53:38.429106
450,212,shared_device,71 5228 7836,2025-10-30T14:11:46.342022
176,514,shared_device,+55 (021) 7395-7511,2025-11-15T13:49:21.555725
400,67,shared_device,+55 31 5001 8187,2025-08-10T09:18:47.466771
278,600,shared_ip,+55 31 6139 8994,2025-06-06T07:10:23.986005
93,193,shared_phone,+55 (081) 2256 9348,2025-09-09T04:04:03.738565
42,37,shared_ip,+55 (081) 9107 6251,2025-08-12T00:39:45.720512
274,68,shared_device,(021) 0268 5920,2025-11-25T01:54:18.890521
32,478,shared_phone,+55 41 1584-3063,2025-10-06T10:52:26.480579
509,349,shared_device,0800-230-9043,2025-09-20T15:13:56.890556
528,227,shared_phone,+55 31 6958-6594,2025-11-10T06:14:26.360088
193,30,shared_device,+55 11 9220 1005,2025-08-11T06:16:51.713629
324,436,shared_phone,61 6363 7587,2025-09-04T05:18:59.910762
165,596,shared_ip,+55 31 4806 0823,2025-10-17T18:37:40.676296
296,493,shared_device,0300 621 2705,2025-09-26T23:48:39.152584
232,130,shared_device,(021) 7972-4790,2025-11-17T05:43:49.324875
108,142,shared_device,+55 (051) 5380 8370,2025-07-27T13:03:11.390532
15,29,shared_ip,0900-163-0893,2025-07-23T21:59:27.709380
418,497,shared_ip,41 0564 7897,2025-07-26T09:47:18.798935
464,89,shared_device,+55 (021) 1375 4949,2025-11-10T04:26:23.145799
338,305,shared_ip,0500 437 7754,2025-06-26T09:49:54.666665
516,581,shared_ip,84 8483-9023,2025-10-19T01:16:17.536151
90,325,shared_ip,11 0773-2673,2025-08-23T07:08:21.091774
556,321,shared_ip,+55 (081) 4842 9758,2025-10-18T09:37:45.609483
12,333,shared_ip,(081) 5053-9395,2025-07-09T16:09:35.308815
506,85,shared_device,+55 81 6249 8010,2025-08-04T08:12:41.565552
19,240,shared_ip,+55 (071) 9189-1400,2025-07-25T07:55:05.525050
473,78,shared_phone,0500-759-4353,2025-10-02T14:17:56.963581
341,210,shared_ip,(011) 0365 4446,2025-10-03T19:23:09.076664
391,249,shared_phone,+55 31 5030-6461,2025-10-15T01:13:22.357607
487,392,shared_phone,+55 (084) 7019-8640,2025-11-05T12:30:09.805458
353,514,shared_device,+55 61 0302-7531,2025-11-16T01:39:05.781936
199,174,shared_phone,(071) 8412-0729,2025-11-30T21:12:22.682867
394,555,shared_device,0800-546-4630,2025-11-12T04:53:16.299776
600,433,shared_ip,(081) 6368 4058,2025-07-06T20:44:05.949039
35,329,shared_ip,11 1080-1640,2025-09-01T00:21:04.304647
37,222,shared_ip,+55 84 4523-8847,2025-11-04T18:53:03.477396
520,345,shared_phone,84 3821 6235,2025-08-05T01:30:10.860789
584,256,shared_phone,(021) 6502 9350,2025-10-13T08:33:18.435383
245,282,shared_phone,+55 (081) 1958 1542,2025-06-19T00:24:54.452339
573,291,shared_device,+55 (081) 2903-2678,2025-07-10T07:04:28.562921
79,310,shared_phone,+55 84 4980 3708,2025-09-03T04:17:16.384620
495,155,shared_device,+55 (051) 1759-3566,2025-10-23T18:38:37.099642
509,211,shared_phone,(031) 8272-0967,2025-07-24T23:34:02.185102
180,508,shared_phone,+55 (051) 1741-7790,2025-09-12T15:58:30.907473
58,277,shared_device,51 7024 0536,2025-07-13T01:01:30.908161
98,571,shared_ip,+55 (041) 0459 0249,2025-06-22T21:27:36.857123
106,102,shared_device,84 5604 8707,2025-07-18T20:04:41.034422
479,510,shared_phone,71 1677-6964,2025-08-23T16:02:21.522172
354,258,shared_ip,31 6517 3207,2025-06-14T02:37:08.783553
122,469,shared_device,+55 71 1611-1569,2025-10-30T22:48:06.286690
161,473,shared_ip,(081) 7935-8831,2025-07-05T21:32:05.485639
533,345,shared_device,(084) 5544-3220,2025-08-03T11:58:59.727251
308,23,shared_phone,11 1585 1031,2025-08-21T14:11:48.598825
68,353,shared_device,(051) 0955-0039,2025-06-16T05:11:07.629717
84,391,shared_ip,(081) 2148 7633,2025-09-13T18:45:12.597086
408,447,shared_device,(081) 1360 4050,2025-06-26T15:43:56.767510
5,369,shared_device,81 6121-5301,2025-07-12T17:11:19.453939
587,299,shared_device,+55 81 2078-7386,2025-11-02T13:49:03.582580
